Question ID,Question,Story#,Story,Match strength,Rationale
24,Describe a time when you resolved a situation before it became serious.,2,GBAC Vision,4,Identified and addressed potential issues before full implementation
25,Tell me about a time when you had to show innovation.,1,OLAF Innovation,5,Created innovative solution for capturing ownership structures in onboarding
25,Tell me about a time when you had to show innovation.,2,PNC Trade Finance,5,Developed innovative CRM solution for complex multi-party coordination
26,Tell me about a time when you solved a problem in a creative way.,1,OLAF Innovation,5,Developed creative solution for different customer ownership scenarios
26,Tell me about a time when you solved a problem in a creative way.,2,Global Pay Research,4,Created two-stage approach to balance speed and quality needs
27,Tell me about a time when you had to work across teams to accomplish something.,1,OLAF Scope,5,"Coordinated across sales, operations, legal, compliance, and risk teams"
27,Tell me about a time when you had to work across teams to accomplish something.,2,Ripple pilot,5,Managed complex coordination between multiple international partners
28,Tell me about a time when you had a disagreement at work.,1,Global Pay Research,5,Resolved disagreement with manager over research approach through compromise
28,Tell me about a time when you had a disagreement at work.,2,GBAC Vision,4,Handled disagreement with executive over solution approach
29,Tell me about a time when you mentored or aided a coworker.,1,Global Pay STP rates,5,Mentored analyst into product management role while delivering technical improvements
30,Tell me about a time when you had to do something you didn't want to do.,1,Global Pay STP rates,5,Left preferred UX role to tackle critical but less exciting STP work
30,Tell me about a time when you had to do something you didn't want to do.,2,Global Pay Roles,4,Adapted to multiple role changes based on program needs rather than preference
31,Tell me about a time when you had to compromise.,1,Global Pay Research,5,Created two-stage research approach to balance manager's speed concerns with quality needs
31,Tell me about a time when you had to compromise.,2,GBAC Vision,4,Adjusted vision implementation approach based on executive feedback
32,Tell me about a time when you had to resolve a conflict.,1,Global Pay Research,5,Resolved conflict with manager over research methodology through creative solution
32,Tell me about a time when you had to resolve a conflict.,2,PNC Canada risk review,4,Resolved initial committee rejection through one-on-one engagement
33,Tell me about a time when you had a challenging interaction with a coworker.,1,PNC Canada risk review,5,Navigated difficult risk committee interaction and rebuilt relationships
33,Tell me about a time when you had a challenging interaction with a coworker.,2,GBAC Vision,4,Managed challenging interaction with skeptical executive
34,Tell me about a time when you didn't have enough data to make the right decision.,1,Ripple pilot,5,Made quick partner selection decisions with limited time for due diligence
34,Tell me about a time when you didn't have enough data to make the right decision.,2,Global Pay Research,4,Needed to provide direction while waiting for comprehensive research
35,Tell me about a strategic decision you had to make without clear data or benchmarks.,1,Ripple pilot,5,Selected blockchain partners without precedent or comprehensive RFP process
35,Tell me about a strategic decision you had to make without clear data or benchmarks.,2,PNC Trade Finance,4,Decided to build custom CRM without clear precedent for PM coding
36,Tell me about a time when you made a difficult decision with input from many different sources.,1,OLAF Scope,5,Incorporated input from multiple stakeholders to transform onboarding process
36,Tell me about a time when you made a difficult decision with input from many different sources.,2,Global Pay Roadmap,4,Integrated diverse data sources and stakeholder input for roadmap development
37,Tell me about a time when you made a bad decision.,1,PNC Canada risk review,5,Initial approach to risk committee presentation proved ineffective
37,Tell me about a time when you made a bad decision.,2,GBAC Vision,4,Initial presentation approach to executive needed significant revision
38,Tell me about a time when you made an error in judgment.,1,PNC Canada risk review,5,Misjudged need to translate banking terms for US audience
39,Tell me about a time when you discovered that your idea was not the best course of action.,1,Statements Hub,5,Realized original API implementation wasn't best solution for company needs
39,Tell me about a time when you discovered that your idea was not the best course of action.,2,OLAF Innovation,4,Adapted initial ownership structure approach based on customer feedback
40,Tell me about a time when you brought different perspectives together to solve a problem.,1,OLAF Scope,5,United diverse stakeholders to transform onboarding process
40,Tell me about a time when you brought different perspectives together to solve a problem.,2,Global Pay Roadmap,5,Integrated perspectives from multiple teams to create optimal roadmap
41,Tell me about a time you made a mistake.,1,PNC Canada risk review,5,Clear mistake in risk committee presentation with detailed recovery steps
41,Tell me about a time you made a mistake.,2,GBAC Vision,4,Initial approach with executive needed significant correction
42,Talk me through a poor decision you made.,1,PNC Canada risk review,5,Poor decision to use Canadian banking terms without translation
43,"Tell me about a time when you made a good decision, only because you had learned from an earlier bad one.",1,GBAC Vision,5,Applied PNC risk committee lessons to build trust before presenting vision
43,"Tell me about a time when you made a good decision, only because you had learned from an earlier bad one.",2,OLAF Scope,4,Used lessons from previous stakeholder experiences to gain support
44,Give me an example of a significant failure at work.,1,PNC Canada risk review,5,Complete failure of initial risk committee presentation with recovery steps
45,Give me an example of when you didn't have any data but you still had to make a decision.,1,Ripple pilot,5,Made quick partnership decisions with limited information
45,Give me an example of when you didn't have any data but you still had to make a decision.,2,Global Pay Research,4,Provided initial direction while waiting for comprehensive data
46,Tell me about a business model decision or key technology decision where there was not enough data or benchmarks.,1,PNC Trade Finance,5,Decided to build custom CRM without precedent for PM coding
46,Tell me about a business model decision or key technology decision where there was not enough data or benchmarks.,2,Ripple pilot,4,Made blockchain technology choices without industry precedent
47,Give me an example of a decision you made where you didn't have personal expertise or data to guide you.,1,Ripple pilot,5,Made blockchain partnership decisions in new technology area
48,Tell me about a time you made a mistake.,1,PNC Canada risk review,5,Failed to translate banking terms for US audience
48,Tell me about a time you made a mistake.,2,GBAC Vision,4,Initially failed to build executive trust
49,Tell me about an error in judgment you made in the last year or two.,1,GBAC Vision,4,Misjudged need to build trust before presenting ambitious vision
50,Tell me about a time when you made a bad decision and the learning enabled you to make a good decision later.,1,GBAC Vision,5,Applied risk committee presentation lessons to later stakeholder management
50,Tell me about a time when you made a bad decision and the learning enabled you to make a good decision later.,2,PNC Canada risk review,4,Used failed presentation experience to improve stakeholder approach
51,Give me an example of a significant professional failure.,1,PNC Canada risk review,5,Complete failure of risk committee presentation with detailed recovery process
52,Tell me about a time you were wrong.,1,GBAC Vision,5,Wrong in initial approach to presenting vision to executive
52,Tell me about a time you were wrong.,2,PNC Canada risk review,5,Wrong about approach to risk committee presentation
53,Tell the story of the last time you had to apologize to someone.,1,PNC Canada risk review,3,Implicit apology and correction with risk committee members
54,What regrets do you have?,1,PNC Canada risk review,3,Expresses regret about naivety in risk committee approach
55,"Describe a situation where you thought you were right, but your peers or supervisor did not agree with you.",1,GBAC Vision,5,Executive disagreed with custom platform approach
55,"Describe a situation where you thought you were right, but your peers or supervisor did not agree with you.",2,Global Pay Research,4,Manager disagreed with comprehensive research approach
56,Tell me about a time you disagreed with a colleague.,1,Global Pay Research,5,Disagreed with manager over research methodology
56,Tell me about a time you disagreed with a colleague.,2,GBAC Vision,4,Disagreed with executive over solution approach
57,Tell me about a time that you strongly disagreed with your manager on something you deemed to be very important to the business.,1,Global Pay Research,5,Strong disagreement over research approach importance
57,Tell me about a time that you strongly disagreed with your manager on something you deemed to be very important to the business.,2,GBAC Vision,4,Disagreed with executive over strategic platform approach
58,Tell me about a difficult relationship with a stakeholder.,1,PNC Canada risk review,5,Difficult initial relationship with risk committee members
58,Tell me about a difficult relationship with a stakeholder.,2,GBAC Vision,4,Challenging relationship with skeptical executive
59,Tell me about a time where someone openly challenged you.,1,GBAC Vision,5,Executive openly challenged vision and approach
59,Tell me about a time where someone openly challenged you.,2,Global Pay Research,4,Manager challenged proposed research methodology
60,Give me an example of when you took an unpopular stance in a meeting with peers and your leader and you were the outlier.,1,GBAC Vision,5,Maintained stance on custom platform despite executive pushback
60,Give me an example of when you took an unpopular stance in a meeting with peers and your leader and you were the outlier.,2,Global Pay Research,4,Defended comprehensive research approach against manager's preference
61,When do you decide to go along with the group decision even if you disagree?,1,Global Pay STP rates,4,Accepted need to leave UX role for greater program benefit
62,Tell me about a decision for which data and analysis weren't enough and you had to rely on your judgment and instincts.,1,Ripple pilot,5,Used judgment in partner selection without complete analysis
62,Tell me about a decision for which data and analysis weren't enough and you had to rely on your judgment and instincts.,2,PNC Trade Finance,4,Relied on instinct about CRM solution potential
63,Tell me about a time you made a difficult decision and how you knew it was the right solution.,1,OLAF Innovation,5,Multiple validation points confirmed ownership structure solution was right
63,Tell me about a time you made a difficult decision and how you knew it was the right solution.,2,Global Pay STP rates,4,Results validated difficult decision to focus on STP work
64,Give me an example of when you had to make an important decision in the absence of good data.,1,Ripple pilot,5,Made critical partnership decisions with limited time for data gathering
64,Give me an example of when you had to make an important decision in the absence of good data.,2,PNC Trade Finance,4,Decided to build CRM without precedent data
65,Tell me about a time you had to fix something but had no data or direction.,1,PNC Trade Finance,5,Created CRM solution without existing template or direction
65,Tell me about a time you had to fix something but had no data or direction.,2,Global Pay STP rates,4,Developed new approach to improve processing rates
66,Tell me about a time when you were faced with a challenge where the best way forward was not clear cut.,1,OLAF Innovation,5,Found innovative solution for complex ownership structure challenge
66,Tell me about a time when you were faced with a challenge where the best way forward was not clear cut.,2,Global Pay Research,4,Developed creative approach to balance competing needs
67,Give me an example of making an important decision in the absence of good data.,1,Ripple pilot,5,Selected blockchain partners without complete information
67,Give me an example of making an important decision in the absence of good data.,2,Global Pay Research,4,Made initial roadmap decisions while awaiting research
68,"Describe a situation where you thought you were right, but your peers or supervisor didn't agree with you.",1,GBAC Vision,5,Maintained position on custom platform despite executive skepticism
68,"Describe a situation where you thought you were right, but your peers or supervisor didn't agree with you.",2,Global Pay Research,4,Defended research approach against manager's preference
69,Tell me about a decision for which data and analysis weren't enough to provide the right course.,1,Ripple pilot,5,Required judgment beyond data for partner selection decisions
69,Tell me about a decision for which data and analysis weren't enough to provide the right course.,2,OLAF Innovation,4,Needed creative thinking beyond data for ownership solution
70,Tell me about a time when you had to work with incomplete data or information.,1,Ripple pilot,5,Made quick decisions with limited partner information
70,Tell me about a time when you had to work with incomplete data or information.,2,Global Pay Research,4,Created initial roadmap with incomplete market data
71,Can you think of a time you made a bad professional decision?,1,PNC Canada risk review,5,Clear bad decision in risk committee presentation approach
71,Can you think of a time you made a bad professional decision?,2,GBAC Vision,4,Initial approach with executive proved ineffective
72,When you had to make a difficult decision with inputs from a lot of people.,1,OLAF Scope,5,Integrated input from multiple stakeholders for onboarding transformation
72,When you had to make a difficult decision with inputs from a lot of people.,2,Global Pay Roadmap,4,Synthesized diverse inputs for roadmap development
73,Tell me about an error in judgment you made in the last year or two.,1,GBAC Vision,4,Recent error in approach to executive presentation
74,Give me an example of a significant professional failure.,1,PNC Canada risk review,5,Complete failure of risk committee presentation with recovery
75,Give me an example of a calculated risk that you have taken where speed was critical.,1,Ripple pilot,5,Quick blockchain partner selection under tight timeline
75,Give me an example of a calculated risk that you have taken where speed was critical.,2,Global Pay Research,4,Two-stage approach balanced speed and quality needs
76,Tell me about a time when you worked against tight deadlines and didn't have time to consider all options.,1,Ripple pilot,5,Made quick partnership decisions to meet announcement deadline
76,Tell me about a time when you worked against tight deadlines and didn't have time to consider all options.,2,Global Pay Research,4,Created initial roadmap under time pressure
77,Describe a situation where you made an important business decision without consulting your manager.,1,PNC Trade Finance,5,Proposed and built CRM system beyond original assignment
77,Describe a situation where you made an important business decision without consulting your manager.,2,Statements Hub,4,Transformed API request into strategic initiative
78,Tell me about a time when you had to gather information and respond immediately to a situation.,1,PNC Canada risk review,4,Quickly gathered information to address committee concerns
79,When did you have to make an important decision between moving forward or gathering more information?,1,Global Pay Research,5,Balanced immediate direction needs with thorough research
79,When did you have to make an important decision between moving forward or gathering more information?,2,Ripple pilot,4,Decided to proceed with limited partner information
80,Tell me about a time when you saw an issue that would impact your team and took a proactive approach to solve it.,1,PNC Trade Finance,5,Proactively identified and solved team visibility issues
80,Tell me about a time when you saw an issue that would impact your team and took a proactive approach to solve it.,2,OLAF Scope,4,Proactively expanded scope to address deeper problems
81,Tell me about a time when you felt your team was not moving to action quickly enough.,1,Ripple pilot,5,Recognized slow progress due to timezone issues and took action
81,Tell me about a time when you felt your team was not moving to action quickly enough.,2,Global Pay Research,4,Addressed slow progress with two-stage approach
82,Tell me about a time when you were able to remove a serious roadblock preventing your team from making progress.,1,OLAF Scope,5,Removed regulatory constraints blocking process improvement
82,Tell me about a time when you were able to remove a serious roadblock preventing your team from making progress.,2,Global Pay STP rates,4,Resolved payment processing bottlenecks
83,Tell me about a time when you felt your team were being slow to act.,1,Ripple pilot,5,Addressed slow progress due to international coordination issues
84,Give me an example of a considered risk you took because you had to act fast.,1,Ripple pilot,5,Quick but calculated blockchain partner selection
84,Give me an example of a considered risk you took because you had to act fast.,2,PNC Trade Finance,4,Rapid development of CRM system
85,Walk me through a time you didn't have all the facts but you still had to make a decision.,1,Ripple pilot,5,Made partner decisions with limited information due to time constraints
85,Walk me through a time you didn't have all the facts but you still had to make a decision.,2,Global Pay Research,4,Created initial roadmap before complete research
86,Tell me about a time you had to make a quick decision without time for analysis.,1,Ripple pilot,5,Quick blockchain partnership decisions without full analysis
87,Describe a situation where leadership wasn't available but you had to make a decision.,1,PNC Trade Finance,5,Independently proposed and initiated CRM development
87,Describe a situation where leadership wasn't available but you had to make a decision.,2,Statements Hub,4,Transformed API request without waiting for leadership direction
88,Tell me about a time you overcame indecision because there wasn't time to keep thinking.,1,Ripple pilot,5,Made quick partner decisions despite incomplete information
88,Tell me about a time you overcame indecision because there wasn't time to keep thinking.,2,Global Pay Research,4,Provided initial direction while awaiting full research
89,Give me an example of when you were required to move urgently without all information.,1,Ripple pilot,5,Urgent blockchain partner selection with limited data
89,Give me an example of when you were required to move urgently without all information.,2,Global Pay Research,4,Created initial roadmap under time pressure
90,Walk me through a situation where you faced a tight deadline without time to gather information.,1,Ripple pilot,5,Met announcement deadline despite limited partner evaluation time
90,Walk me through a situation where you faced a tight deadline without time to gather information.,2,Global Pay Research,4,Provided direction while comprehensive research was pending
91,When were you faced with moving forward or spending more time understanding?,1,Global Pay Research,5,Created two-stage solution balancing immediate progress with thorough research
91,When were you faced with moving forward or spending more time understanding?,2,Ripple pilot,4,Balanced quick partner selection with necessary verification
92,Tell me about a time when you were faced with a decision where the path wasn't obvious.,1,OLAF Innovation,5,Found innovative solution for complex ownership structure challenge
92,Tell me about a time when you were faced with a decision where the path wasn't obvious.,2,GBAC Vision,4,Developed new approach after executive pushback
93,Tell me about a time you took a risk.,1,PNC Trade Finance,5,Took risk building custom CRM as product manager
93,Tell me about a time you took a risk.,2,Ripple pilot,5,Risked first blockchain implementation among payment networks
94,Give me an example of a calculated risk where speed was critical.,1,Ripple pilot,5,Quick but calculated blockchain partner selection under deadline
94,Give me an example of a calculated risk where speed was critical.,2,Global Pay Research,4,Balanced quick initial direction with thorough research
95,Tell me about a time you had to make a decision with incomplete information.,1,Ripple pilot,5,Made partner decisions with limited evaluation time
95,Tell me about a time you had to make a decision with incomplete information.,2,Global Pay Research,4,Created initial roadmap before full market data
96,Describe a time you had to make an important decision on the spot to close a sale.,0,No match,0,No stories specifically about on-the-spot sales decisions
97,Tell me about a time you had to make a quick judgment call without time for deep analysis.,1,Ripple pilot,5,Quick partner selection decisions under time pressure
97,Tell me about a time you had to make a quick judgment call without time for deep analysis.,2,Global Pay Research,4,Initial roadmap decisions before complete analysis
98,Describe a situation where you made a business decision without consulting your manager.,1,PNC Trade Finance,5,Independently proposed and built CRM system
98,Describe a situation where you made a business decision without consulting your manager.,2,Statements Hub,4,Transformed API request into strategic initiative
99,Tell me about a time when you had to analyze facts quickly and respond immediately.,1,PNC Canada risk review,4,Quickly analyzed and addressed committee concerns
99,Tell me about a time when you had to analyze facts quickly and respond immediately.,2,Global Pay Research,4,Rapid initial analysis for roadmap direction
100,Tell me about working against tight deadlines without time to consider all options.,1,Ripple pilot,5,Met announcement deadline with limited partner evaluation time
100,Tell me about working against tight deadlines without time to consider all options.,2,Global Pay Research,4,Created initial roadmap under time constraints
101,When did you have to decide between moving forward or gathering more information?,1,Global Pay Research,5,Created two-stage approach balancing immediate progress with thorough research
101,When did you have to decide between moving forward or gathering more information?,2,Ripple pilot,4,Balanced quick decisions with necessary verification
102,Describe a time when you saw a problem and took initiative to correct it.,1,PNC Trade Finance,5,Identified visibility issues and took initiative to build CRM
102,Describe a time when you saw a problem and took initiative to correct it.,2,Statements Hub,5,Transformed simple API request into strategic solution
103,Give me an example where you unblocked the team.,1,OLAF Scope,5,Removed regulatory constraints blocking process improvement
103,Give me an example where you unblocked the team.,2,Ripple pilot,4,Resolved timezone coordination issues
104,Tell me about getting information from someone who wasn't very responsive.,0,No match,0,No stories specifically about dealing with unresponsive stakeholders
105,Tell me about a time your team wasn't moving to action quickly enough.,1,Ripple pilot,5,Addressed slow progress in international coordination
105,Tell me about a time your team wasn't moving to action quickly enough.,2,Global Pay Research,4,Tackled slow progress with two-stage approach
106,Tell me about removing a serious roadblock preventing team progress.,1,OLAF Scope,5,Removed regulatory constraints blocking improvement
106,Tell me about removing a serious roadblock preventing team progress.,2,Global Pay STP rates,4,Resolved payment processing bottlenecks
107,Can you give me an example of a calculated risk where speed was critical?,1,Ripple pilot,5,Quick but calculated blockchain partner selection
107,Can you give me an example of a calculated risk where speed was critical?,2,PNC Trade Finance,4,Rapid development of CRM system
108,Tell me about analyzing facts quickly and responding immediately.,1,PNC Canada risk review,4,Quick analysis and response to committee concerns
108,Tell me about analyzing facts quickly and responding immediately.,2,Global Pay Research,4,Rapid initial analysis for roadmap direction
109,Tell me about a time you took a risk.,1,PNC Trade Finance,5,Risky decision to build custom CRM as product manager
109,Tell me about a time you took a risk.,2,Ripple pilot,5,First blockchain implementation among payment networks
110,Tell me about making a decision with incomplete information.,1,Ripple pilot,5,Partner decisions with limited evaluation time
110,Tell me about making a decision with incomplete information.,2,Global Pay Research,4,Initial roadmap decisions before complete market data
111,Describe making an important decision on the spot to close a sale.,0,No match,0,No stories specifically about on-the-spot sales decisions
112,Tell me about making a quick judgment call without time for analysis.,1,Ripple pilot,5,Quick partner selection decisions under time pressure
112,Tell me about making a quick judgment call without time for analysis.,2,Global Pay Research,4,Initial roadmap decisions before complete analysis
113,Describe making a business decision without consulting your manager.,1,PNC Trade Finance,5,Independently proposed and built CRM system
113,Describe making a business decision without consulting your manager.,2,Statements Hub,4,Transformed API request into strategic initiative
114,Tell me about working against tight deadlines.,1,Ripple pilot,5,Met aggressive blockchain announcement deadline
114,Tell me about working against tight deadlines.,2,Global Pay Research,4,Delivered initial roadmap under time pressure
115,What approach did you take with tight deadlines?,1,Ripple pilot,5,Created detailed project plan and personally managed coordination
115,What approach did you take with tight deadlines?,2,Global Pay Research,4,Developed two-stage approach to meet immediate needs
116,What information do you need before acting?,1,Global Pay Research,5,Balanced minimum viable information with thorough research needs
116,What information do you need before acting?,2,Ripple pilot,4,Identified critical information for partner selection
117,Describe seeing a problem and taking initiative to correct it.,1,PNC Trade Finance,5,Identified visibility issues and built CRM solution
117,Describe seeing a problem and taking initiative to correct it.,2,Statements Hub,5,Transformed API request into strategic solution
118,Tell me about getting information from someone who wasn't responsive.,0,No match,0,No stories specifically about dealing with unresponsive stakeholders
119,Tell me about a time your team wasn't moving quickly enough.,1,Ripple pilot,5,Addressed slow progress in international coordination
119,Tell me about a time your team wasn't moving quickly enough.,2,Global Pay Research,4,Tackled slow progress with two-stage approach
120,Describe a difficult interaction you had with a customer.,0,No match,0,No stories specifically about difficult customer interactions
121,Tell me about a time when you went above and beyond for a customer. Why did you do it? How did the customer respond? What was the outcome?,1,PNC Trade Finance,5,"Went far beyond original marketing assignment to build custom CRM system, transforming team performance and winning awards. System proved so valuable it was used for 15 years."
122,Give me an example of when you were able to anticipate a customer need with a solution/product they didn't know they needed/wanted yet. How did you know they needed this? How did they respond?,1,Statements Hub,4,"Identified broader company-wide need for statement hub beyond original API request through extensive user research, leading to strategic solution proposal"
122,Give me an example of when you were able to anticipate a customer need with a solution/product they didn't know they needed/wanted yet. How did you know they needed this? How did they respond?,2,GBAC Vision,3,"Recognized deeper automation needs beyond basic banking processes, proposed comprehensive platform despite initial pushback"
123,Give me an example of a time when you asked for customer feedback. How did you use that feedback to drive innovation or improvement? How did the customer respond?,1,OLAF Innovation,5,"Used customer feedback to completely redesign onboarding process, reducing time by 75% and eliminating paper applications"
123,Give me an example of a time when you asked for customer feedback. How did you use that feedback to drive innovation or improvement? How did the customer respond?,2,Global Pay Roadmap,4,"Conducted extensive customer research across continents to develop needs-based segmentation, leading to optimized roadmap"
124,Tell me about a time when you evaluated the customer experience of your product or service. What did you do? What was the result?,1,OLAF Innovation,5,"Deep analysis of onboarding process revealed key friction points, led to innovative solutions reducing onboarding time from 4 days to 1"
124,Tell me about a time when you evaluated the customer experience of your product or service. What did you do? What was the result?,2,Global Pay Roles,4,Led UX team to establish design standards and testing processes across multiple domains
125,Tell me about a time when a customer came to you for something that wouldn't actually address their need. How did you approach the situation? What was the result?,1,Statements Hub,5,Treasurer requested API implementation but analysis revealed deeper problems requiring different solution; proposed comprehensive hub strategy instead
126,Sometimes customers make unreasonable requests. Tell me about a time when you've had to push back or say no to a customer request. What did you say or do in response to that request?,1,Statements Hub,4,"Pushed back on Treasurer's API request with data showing APIs couldn't handle volume, proposed alternative strategic solution"
127,Tell me about a time when you had to balance the needs of the customer with the needs of the business. What did you do? What was the result?,1,OLAF Innovation,4,Balanced customer experience needs with compliance requirements by creating different onboarding journeys for different customer types
128,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers. What has been the result?,1,OLAF Scope,5,"Expanded limited UI update project into comprehensive onboarding redesign, reducing process by 75% and becoming new standard"
128,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers. What has been the result?,2,PNC Trade Finance,4,Built custom CRM system that helped team grow 200% and win awards
129,Tell me about a time you made something better or created something new because you listened to a customer/s. What was the situation and what action did you take?,1,OLAF Innovation,5,"Created innovative onboarding solution based on deep customer pain point analysis, reducing time by 75%"
129,Tell me about a time you made something better or created something new because you listened to a customer/s. What was the situation and what action did you take?,2,PNC Trade Finance,4,Built CRM system after observing team's collaboration challenges
130,"Give me an example of when you disappointed a customer. What happened, and how did you attempt to rectify the situation?",1,PNC Canada risk review,4,Failed initial risk committee presentation but recovered through detailed follow-up and translation of concepts into familiar terms
131,Tell me about a time you handled a difficult customer. What did you do? How did you manage the customer? What was her/his reaction? What was the outcome?,1,PNC Canada risk review,4,"Handled difficult risk committee situation by breaking down concerns, translating concepts, and addressing each stakeholder individually"
132,"Tell me about a time you put the customer first, regardless of what peers or higher management directed. What was the outcome?",1,OLAF Scope,5,Pushed for expanded scope against initial stakeholder resistance to truly solve customer pain points
132,"Tell me about a time you put the customer first, regardless of what peers or higher management directed. What was the outcome?",2,PNC Trade Finance,4,Went beyond assigned marketing project to build system addressing core customer needs
133,Walk me through a time when you helped a customer through a difficult process and what that looked like.,1,OLAF Innovation,5,"Redesigned complex onboarding process to make it easier for different customer types, reducing time from 4 days to 1"
