ID,Question,Category,Source,Original number,Story count,short version
52,Tell me about a time you were wrong.,LP: Are Right A Lot,Genie 2021,19,2,Tell me about a time you were wrong.
53,Tell the story of the last time you had to apologize to someone.,LP: Are Right A Lot,Genie 2021,20,1,Tell the story of the last time you had to apologize to someone.
54,What regrets do you have?,LP: Are Right A Lot,Genie 2021,21,1,What regrets do you have?
55,"Describe a situation where you thought you were right, but your peers or supervisor did not agree with you.",LP: Are Right A Lot,Genie 2021,22,2,"Describe a situation where you thought you were right, but your peers or supervisor did not agree with you."
56,Tell me about a time you disagreed with a colleague. What is the process you used to work it out?,LP: Are Right A Lot,Genie 2021,23,2,Tell me about a time you disagreed with a colleague.
57,Tell me about a time that you strongly disagreed with your manager on something you deemed to be very important to the business.,LP: Are Right A Lot,Genie 2021,24,2,Tell me about a time that you strongly disagreed with your manager on something you deemed to be very important to the business.
58,Tell me about a difficult relationship with a stakeholder.,LP: Are Right A Lot,Genie 2021,25,2,Tell me about a difficult relationship with a stakeholder.
59,Tell me about a time where someone openly challenged you. How did you handle this feedback?,LP: Are Right A Lot,Genie 2021,26,2,Tell me about a time where someone openly challenged you.
60,Give me an example of when you took an unpopular stance in a meeting with peers and your leader and you were the outlier.,LP: Are Right A Lot,Genie 2021,27,2,Give me an example of when you took an unpopular stance in a meeting with peers and your leader and you were the outlier.
61,When do you decide to go along with the group decision even if you disagree?,LP: Are Right A Lot,Genie 2021,28,1,When do you decide to go along with the group decision even if you disagree?
62,Tell me about a decision for which data and analysis weren't enough and you had to rely on your judgment and instincts.,LP: Are Right A Lot,Genie 2021,29,2,Tell me about a decision for which data and analysis weren't enough and you had to rely on your judgment and instincts.
63,Tell me about a time you made a difficult decision and how you knew it was the right solution.,LP: Are Right A Lot,Genie 2021,30,2,Tell me about a time you made a difficult decision and how you knew it was the right solution.
64,Give me an example of when you had to make an important decision in the absence of good data.,LP: Are Right A Lot,Genie 2021,31,2,Give me an example of when you had to make an important decision in the absence of good data.
65,Tell me about a time you had to fix something but had no data or direction.,LP: Are Right A Lot,Genie 2021,32,2,Tell me about a time you had to fix something but had no data or direction.
66,Tell me about a time when you were faced with a challenge where the best way forward was not clear cut.,LP: Are Right A Lot,Genie 2021,33,2,Tell me about a time when you were faced with a challenge where the best way forward was not clear cut.
67,Give me an example of making an important decision in the absence of good data.,LP: Are Right A Lot,Genie 2024,36,2,Give me an example of making an important decision in the absence of good data.
68,"Describe a situation where you thought you were right, but your peers or supervisor didn't agree with you.",LP: Are Right A Lot,Genie 2024,37,2,"Describe a situation where you thought you were right, but your peers or supervisor didn't agree with you."
69,Tell me about a decision for which data and analysis weren't enough to provide the right course.,LP: Are Right A Lot,Genie 2024,42,2,Tell me about a decision for which data and analysis weren't enough to provide the right course.
70,Tell me about a time when you had to work with incomplete data or information.,LP: Are Right A Lot,Other,47,2,Tell me about a time when you had to work with incomplete data or information.
71,Can you think of a time you made a bad professional decision? What was the impact?,LP: Are Right A Lot,Other,48,2,Can you think of a time you made a bad professional decision?
72,When you had to make a difficult decision with inputs from a lot of people.,LP: Are Right A Lot,Other,49,2,When you had to make a difficult decision with inputs from a lot of people.
73,Tell me about an error in judgment you made in the last year or two.,LP: Are Right A Lot,Other,51,1,Tell me about an error in judgment you made in the last year or two.
74,Give me an example of a significant professional failure.,LP: Are Right A Lot,Other,53,1,Give me an example of a significant professional failure.
75,Give me an example of a calculated risk that you have taken where speed was critical. What was the situation and how did you handle it?,LP: Bias for Action,Amazon,1,2,Give me an example of a calculated risk that you have taken where speed was critical.
76,Tell me about a time when you worked against tight deadlines and didn't have time to consider all options.,LP: Bias for Action,Amazon,2,2,Tell me about a time when you worked against tight deadlines and didn't have time to consider all options.
77,Describe a situation where you made an important business decision without consulting your manager.,LP: Bias for Action,Amazon,3,2,Describe a situation where you made an important business decision without consulting your manager.
78,Tell me about a time when you had to gather information and respond immediately to a situation.,LP: Bias for Action,Amazon,4,1,Tell me about a time when you had to gather information and respond immediately to a situation.
79,When did you have to make an important decision between moving forward or gathering more information?,LP: Bias for Action,Amazon,5,2,When did you have to make an important decision between moving forward or gathering more information?
80,Tell me about a time when you saw an issue that would impact your team and took a proactive approach to solve it.,LP: Bias for Action,Amazon,6,2,Tell me about a time when you saw an issue that would impact your team and took a proactive approach to solve it.
81,Tell me about a time when you felt your team was not moving to action quickly enough.,LP: Bias for Action,Amazon,7,2,Tell me about a time when you felt your team was not moving to action quickly enough.
82,Tell me about a time when you were able to remove a serious roadblock preventing your team from making progress.,LP: Bias for Action,Amazon,8,2,Tell me about a time when you were able to remove a serious roadblock preventing your team from making progress.
83,Tell me about a time when you felt your team were being slow to act.,LP: Bias for Action,Day One Careers,9,1,Tell me about a time when you felt your team were being slow to act.
84,Give me an example of a considered risk you took because you had to act fast.,LP: Bias for Action,Day One Careers,10,2,Give me an example of a considered risk you took because you had to act fast.
85,Walk me through a time you didn't have all the facts but you still had to make a decision.,LP: Bias for Action,Day One Careers,11,2,Walk me through a time you didn't have all the facts but you still had to make a decision.
86,Tell me about a time you had to make a quick decision without time for analysis.,LP: Bias for Action,Day One Careers,12,1,Tell me about a time you had to make a quick decision without time for analysis.
87,Describe a situation where leadership wasn't available but you had to make a decision.,LP: Bias for Action,Day One Careers,13,2,Describe a situation where leadership wasn't available but you had to make a decision.
88,Tell me about a time you overcame indecision because there wasn't time to keep thinking.,LP: Bias for Action,Day One Careers,14,2,Tell me about a time you overcame indecision because there wasn't time to keep thinking.
89,Give me an example of when you were required to move urgently without all information.,LP: Bias for Action,Day One Careers,15,2,Give me an example of when you were required to move urgently without all information.
90,Walk me through a situation where you faced a tight deadline without time to gather information.,LP: Bias for Action,Day One Careers,16,2,Walk me through a situation where you faced a tight deadline without time to gather information.
91,When were you faced with moving forward or spending more time understanding? What did you do?,LP: Bias for Action,Day One Careers,17,2,When were you faced with moving forward or spending more time understanding?
92,Tell me about a time when you were faced with a decision where the path wasn't obvious.,LP: Bias for Action,Day One Careers,18,2,Tell me about a time when you were faced with a decision where the path wasn't obvious.
93,Tell me about a time you took a risk. What kind of risk was it?,LP: Bias for Action,Genie 2021,19,2,Tell me about a time you took a risk.
94,Give me an example of a calculated risk where speed was critical.,LP: Bias for Action,Genie 2021,20,2,Give me an example of a calculated risk where speed was critical.
95,Tell me about a time you had to make a decision with incomplete information.,LP: Bias for Action,Genie 2021,21,2,Tell me about a time you had to make a decision with incomplete information.
96,Describe a time you had to make an important decision on the spot to close a sale.,LP: Bias for Action,Genie 2021,22,0,Describe a time you had to make an important decision on the spot to close a sale.
97,Tell me about a time you had to make a quick judgment call without time for deep analysis.,LP: Bias for Action,Genie 2021,23,2,Tell me about a time you had to make a quick judgment call without time for deep analysis.
98,Describe a situation where you made a business decision without consulting your manager.,LP: Bias for Action,Genie 2021,24,2,Describe a situation where you made a business decision without consulting your manager.
99,Tell me about a time when you had to analyze facts quickly and respond immediately.,LP: Bias for Action,Genie 2021,25,2,Tell me about a time when you had to analyze facts quickly and respond immediately.
100,Tell me about working against tight deadlines without time to consider all options.,LP: Bias for Action,Genie 2021,26,2,Tell me about working against tight deadlines without time to consider all options.
101,When did you have to decide between moving forward or gathering more information?,LP: Bias for Action,Genie 2021,27,2,When did you have to decide between moving forward or gathering more information?
102,Describe a time when you saw a problem and took initiative to correct it.,LP: Bias for Action,Genie 2021,28,2,Describe a time when you saw a problem and took initiative to correct it.
103,Give me an example where you unblocked the team.,LP: Bias for Action,Genie 2021,29,2,Give me an example where you unblocked the team.
104,Tell me about getting information from someone who wasn't very responsive.,LP: Bias for Action,Genie 2021,30,0,Tell me about getting information from someone who wasn't very responsive.
105,Tell me about a time your team wasn't moving to action quickly enough.,LP: Bias for Action,Genie 2021,31,2,Tell me about a time your team wasn't moving to action quickly enough.
106,Tell me about removing a serious roadblock preventing team progress.,LP: Bias for Action,Genie 2024,43,2,Tell me about removing a serious roadblock preventing team progress.
107,Can you give me an example of a calculated risk where speed was critical?,LP: Bias for Action,Other,44,2,Can you give me an example of a calculated risk where speed was critical?
108,Tell me about analyzing facts quickly and responding immediately.,LP: Bias for Action,Other,46,2,Tell me about analyzing facts quickly and responding immediately.
109,Tell me about a time you took a risk.,LP: Bias for Action,Other,47,2,Tell me about a time you took a risk.
110,Tell me about making a decision with incomplete information.,LP: Bias for Action,Other,49,2,Tell me about making a decision with incomplete information.
111,Describe making an important decision on the spot to close a sale.,LP: Bias for Action,Other,50,0,Describe making an important decision on the spot to close a sale.
112,Tell me about making a quick judgment call without time for analysis.,LP: Bias for Action,Other,51,2,Tell me about making a quick judgment call without time for analysis.
113,Describe making a business decision without consulting your manager.,LP: Bias for Action,Other,52,2,Describe making a business decision without consulting your manager.
114,Tell me about working against tight deadlines.,LP: Bias for Action,Other,54,2,Tell me about working against tight deadlines.
115,What approach did you take with tight deadlines?,LP: Bias for Action,Other,55,2,What approach did you take with tight deadlines?
116,What information do you need before acting?,LP: Bias for Action,Other,57,2,What information do you need before acting?
117,Describe seeing a problem and taking initiative to correct it.,LP: Bias for Action,Other,58,2,Describe seeing a problem and taking initiative to correct it.
118,Tell me about getting information from someone who wasn't responsive.,LP: Bias for Action,Other,60,0,Tell me about getting information from someone who wasn't responsive.
119,Tell me about a time your team wasn't moving quickly enough.,LP: Bias for Action,Other,61,2,Tell me about a time your team wasn't moving quickly enough.
120,Describe a difficult interaction you had with a customer. How did you deal with it? What was the outcome? How would you handle it differently?,LP: Customer Obsession,Amazon,1,0,Describe a difficult interaction you had with a customer.
121,Tell me about a time when you went above and beyond for a customer. Why did you do it? How did the customer respond? What was the outcome?,LP: Customer Obsession,Amazon,2,1,Tell me about a time when you went above and beyond for a customer. Why did you do it? How did the customer respond? What was the outcome?
122,Give me an example of when you were able to anticipate a customer need with a solution/product they didn't know they needed/wanted yet. How did you know they needed this? How did they respond?,LP: Customer Obsession,Amazon,3,2,Give me an example of when you were able to anticipate a customer need with a solution/product they didn't know they needed/wanted yet. How did you know they needed this? How did they respond?
123,Give me an example of a time when you asked for customer feedback. How did you use that feedback to drive innovation or improvement? How did the customer respond?,LP: Customer Obsession,Amazon,4,2,Give me an example of a time when you asked for customer feedback. How did you use that feedback to drive innovation or improvement? How did the customer respond?
124,Tell me about a time when you evaluated the customer experience of your product or service. What did you do? What was the result?,LP: Customer Obsession,Amazon,5,2,Tell me about a time when you evaluated the customer experience of your product or service. What did you do? What was the result?
125,Tell me about a time when a customer came to you for something that wouldn't actually address their need. How did you approach the situation? What was the result?,LP: Customer Obsession,Amazon,6,1,Tell me about a time when a customer came to you for something that wouldn't actually address their need. How did you approach the situation? What was the result?
126,Sometimes customers make unreasonable requests. Tell me about a time when you've had to push back or say no to a customer request. What did you say or do in response to that request?,LP: Customer Obsession,Amazon,7,1,Sometimes customers make unreasonable requests. Tell me about a time when you've had to push back or say no to a customer request. What did you say or do in response to that request?
127,Tell me about a time when you had to balance the needs of the customer with the needs of the business. What did you do? What was the result?,LP: Customer Obsession,Amazon,8,1,Tell me about a time when you had to balance the needs of the customer with the needs of the business. What did you do? What was the result?
128,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers. What has been the result? (Manager),LP: Customer Obsession,Amazon,9,2,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers. What has been the result?
129,Tell me about a time you made something better or created something new because you listened to a customer/s. What was the situation and what action did you take?,LP: Customer Obsession,Day One Careers,10,2,Tell me about a time you made something better or created something new because you listened to a customer/s. What was the situation and what action did you take?
130,"Give me an example of when you disappointed a customer. What happened, and how did you attempt to rectify the situation?",LP: Customer Obsession,Day One Careers,11,1,"Give me an example of when you disappointed a customer. What happened, and how did you attempt to rectify the situation?"
131,Tell me about a time you handled a difficult customer. What did you do? How did you manage the customer? What was her/his reaction? What was the outcome?,LP: Customer Obsession,Day One Careers,12,1,Tell me about a time you handled a difficult customer. What did you do? How did you manage the customer? What was her/his reaction? What was the outcome?
132,"Tell me about a time you put the customer first, regardless of what peers or higher management directed. What was the outcome? How did this impact day-to-day interaction with your peers and/or management?",LP: Customer Obsession,Day One Careers,13,2,"Tell me about a time you put the customer first, regardless of what peers or higher management directed. What was the outcome?"
133,Walk me through a time when you helped a customer through a difficult process and what that looked like.,LP: Customer Obsession,Day One Careers,14,1,Walk me through a time when you helped a customer through a difficult process and what that looked like.
134,Can you tell me about a time when you felt really frustrated with a customer and their demands. How did you deal with it?,LP: Customer Obsession,Day One Careers,15,1,Can you tell me about a time when you felt really frustrated with a customer and their demands. How did you deal with it?
135,Tell me about a time when you've refused an unreasonable customer request?,LP: Customer Obsession,Day One Careers,16,1,Tell me about a time when you've refused an unreasonable customer request?
136,Tell me about a time you had to compromise in order to satisfy a customer.,LP: Customer Obsession,Day One Careers,17,1,Tell me about a time you had to compromise in order to satisfy a customer.
137,Walk me through a situation when you and a customer didn't agree on what they needed.,LP: Customer Obsession,Day One Careers,18,2,Walk me through a situation when you and a customer didn't agree on what they needed.
138,Talk me through a time when there was a tension between your business goals and the needs of the customer.,LP: Customer Obsession,Day One Careers,19,1,Talk me through a time when there was a tension between your business goals and the needs of the customer.
139,Tell me about a time when you over promised to a customer and then failed to deliver. How did you deal with the situation?,LP: Customer Obsession,Day One Careers,20,1,Tell me about a time when you over promised to a customer and then failed to deliver.
140,Give me an example of a time when you've re-evaluated a product or a service for the benefit of your customer.,LP: Customer Obsession,Day One Careers,21,2,Give me an example of a time when you've re-evaluated a product or a service for the benefit of your customer.
141,Give me an example of a time you made a significant change to your team because you felt you could meet the needs of your customer better.,LP: Customer Obsession,Day One Careers,22,2,Give me an example of a time you made a significant change to your team because you felt you could meet the needs of your customer better.
142,How do you develop client relationships?,LP: Customer Obsession,Genie 2021,23,1,How do you develop client relationships?
143,How do you anticipate your customer's needs?,LP: Customer Obsession,Genie 2021,24,2,How do you anticipate your customer's needs?
144,Tell me about a time you asked for customer feedback.,LP: Customer Obsession,Genie 2021,25,2,Tell me about a time you asked for customer feedback.
145,"How do you ""wow"" your customers?",LP: Customer Obsession,Genie 2021,26,2,"How do you ""wow"" your customers?"
146,How do you see around the corner to delight the customer with something they didn't know they needed?,LP: Customer Obsession,Genie 2021,27,2,How do you see around the corner to delight the customer with something they didn't know they needed?
147,Tell me about a time you used customer feedback to change the way you worked.,LP: Customer Obsession,Genie 2021,28,1,Tell me about a time you used customer feedback to change the way you worked.
148,"When you're working with a large number of customers, it's tricky to deliver excellent service to all of them. How do you prioritize the different customer needs?",LP: Customer Obsession,Genie 2021,29,1,"When you're working with a large number of customers, it's tricky to deliver excellent service to all of them. How do you prioritize the different customer needs?"
149,When did you have to work backward from a customer requirement? How did you approach the situation? What were your actions? What was the end result?,LP: Customer Obsession,Genie 2021,30,2,When did you have to work backward from a customer requirement? How did you approach the situation?
150,"Give me an example of when you did not meet a client's expectations. What happened, and how did you attempt to rectify the situation?",LP: Customer Obsession,Genie 2021,31,2,"Give me an example of when you did not meet a client's expectations. What happened, and how did you attempt to rectify the situation?"
151,Describe a difficult interaction you had with a client. What was the situation and what action did you take? What was the outcome?,LP: Customer Obsession,Genie 2021,32,1,Describe a difficult interaction you had with a client. What was the situation and what action did you take?
152,Tell me about a time you changed your process to better align with customer needs.,LP: Customer Obsession,Genie 2021,36,2,Tell me about a time you changed your process to better align with customer needs.
153,When did you deal with an angry client? What actions did you take?,LP: Customer Obsession,Genie 2021,37,1,When did you deal with an angry client? What actions did you take?
154,Most of us at one time have felt frustrated or impatient when dealing with customers. Can you tell me about a time when you felt this way and how you dealt with it?,LP: Customer Obsession,Genie 2021,38,1,Most of us at one time have felt frustrated or impatient when dealing with customers. Can you tell me about a time when you felt this way?
155,When do you think it's ok to push back or say no to an unreasonable customer request?,LP: Customer Obsession,Genie 2021,39,2,When do you think it's ok to push back or say no to an unreasonable customer request?
156,Tell me about the last time you had to apologize to someone.,LP: Customer Obsession,Genie 2021,41,1,Tell me about the last time you had to apologize to someone.
157,"Tell me about a time a customer wanted one thing, but you felt they needed something else.",LP: Customer Obsession,Genie 2021,42,2,"Tell me about a time a customer wanted one thing, but you felt they needed something else."
158,When was a time when you had to balance the needs of the customer with the needs of the business?,LP: Customer Obsession,Genie 2021,43,2,When was a time when you had to balance the needs of the customer with the needs of the business?
159,"When you're working with a large number of customers, it's tricky to deliver excellent service to all of them. How do you prioritize different customer needs?",LP: Customer Obsession,Genie 2024,45,1,"When you're working with a large number of customers, it's tricky to deliver excellent service to all of them. How do you prioritize different customer needs?"
160,When was a time you had to balance the needs of the customer with the needs of the business? How did you approach the situation? What were your actions? What was the end result?,LP: Customer Obsession,Genie 2024,48,2,When was a time you had to balance the needs of the customer with the needs of the business?
161,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers. What has been the result?,LP: Customer Obsession,Genie 2024,49,2,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers.
162,Tell me about a time a customer wanted one thing but you felt they needed something else. What was the situation and what was the action you took?,LP: Customer Obsession,Genie 2024,50,2,Tell me about a time a customer wanted one thing but you felt they needed something else.
163,Tell me about a time you used customer feedback to change the way you worked. Why did you take the action you did? What was the outcome?,LP: Customer Obsession,Genie 2024,52,2,Tell me about a time you used customer feedback to change the way you worked.
164,How do you get to an understanding of what the customer's needs are?,LP: Customer Obsession,Genie 2024,54,2,How do you get to an understanding of what the customer's needs are?
165,"How do you honestly pursue customer feedback, not just solicit them for compliments?",LP: Customer Obsession,Genie 2024,55,2,"How do you honestly pursue customer feedback, not just solicit them for compliments?"
166,How do you wow your customers?,LP: Customer Obsession,Genie 2024,56,2,How do you wow your customers?
167,Tell me about a time you obsessed over giving very high-quality service to a customer.,LP: Customer Obsession,Other,58,2,Tell me about a time you obsessed over giving very high-quality service to a customer.
168,Can you describe a difficult interaction you've had with a customer?,LP: Customer Obsession,Other,59,1,Can you describe a difficult interaction you've had with a customer?
169,Can you provide an example of when you asked a customer for feedback? How did you use that feedback to drive innovation or improvement?,LP: Customer Obsession,Other,60,2,Can you provide an example of when you asked a customer for feedback?
170,Tell me about a time when you went above and beyond the call of duty for a customer. Why did you take the action you did? What was the outcome?,LP: Customer Obsession,Other,61,2,Tell me about a time when you went above and beyond the call of duty for a customer.
171,Have you ever refused to indulge an unreasonable request from a customer?,LP: Customer Obsession,Other,62,2,Have you ever refused to indulge an unreasonable request from a customer?
172,Give me an example of a time you used customer feedback to drive improvement or innovation. What was the situation and what action did you take?,LP: Customer Obsession,Other,63,2,Give me an example of a time you used customer feedback to drive improvement or innovation.
173,Give me an example of a time when you were able to deliver an important project under a tight deadline. What sacrifices did you have to make to meet the deadline? How did they impact the final deliverable?,LP: Deliver Results,Amazon,1,2,Give me an example of a time when you were able to deliver an important project under a tight deadline.
174,"Tell me about a time when you had significant, unanticipated obstacles to overcome in achieving a key goal. What was the obstacle? Were you eventually successful?",LP: Deliver Results,Amazon,2,2,"Tell me about a time when you had significant, unanticipated obstacles to overcome in achieving a key goal."
175,Tell me about a time when you not only met a goal but considerably exceeded expectations. How were you able to do it? What challenges did you have to overcome?,LP: Deliver Results,Amazon,3,2,Tell me about a time when you not only met a goal but considerably exceeded expectations.
176,Tell me about a time when you or your team were more than half way to meeting a goal when you realized it may not be the right goal or may have unintended consequences. What did you do?,LP: Deliver Results,Amazon,4,1,Tell me about a time when you or your team were more than half way to meeting a goal when you realized it may not be the right goal.
177,Give me an example of a mission or goal you didn't think was achievable. What was it and how did you help your team try to achieve it? Were you successful in the end?,LP: Deliver Results,Amazon,5,1,Give me an example of a mission or goal you didn't think was achievable.
178,Tell me about a time when you did not effectively manage your projects and something did not get completed on time. What was the impact?,LP: Deliver Results,Amazon,6,1,Tell me about a time when you did not effectively manage your projects and something did not get completed on time.
179,"It can be difficult to set goals for a team that are challenging, yet achievable. Tell me about a time when you hit the right balance. How did you approach setting the goals?",LP: Deliver Results,Amazon,7,1,Tell me about a time when you hit the right balance setting challenging yet achievable goals.
180,It can be difficult to set goals for a team that are challenging yet achievable. Tell me about a time when you hit the right balance. How did you approach setting the goals?,LP: Deliver Results,Day One Career,8,2,Tell me about a time when you hit the right balance setting challenging yet achievable goals.
181,Tell me about a time when you went way beyond the scope of the project and over delivered.,LP: Deliver Results,Day One Career,10,2,Tell me about a time when you went way beyond the scope of the project and over delivered.
